,SPD,DI,EOD,PED,Acc
NONE,-0.015873015873015928,0.9792746113989637,-0.009523809523809601,0.08611111111111114,0.7433333333333333
Re+EGR,0.0992063492063493,1.1351351351351353,0.023809523809523725,0.31388888888888894,0.7166666666666667
Re+AL,0.21230158730158732,1.3203592814371259,0.15873015873015872,0.4444444444444444,0.7566666666666667
DIR+EGR,0.07837301587301593,1.1067567567567569,-0.01746031746031751,0.32777777777777783,0.72
DIR+AL,0.18353174603174605,1.2736686390532546,0.14761904761904765,0.3944444444444444,0.7666666666666667
Re+EGR+ROC,-0.015873015873015928,0.9792746113989637,-0.009523809523809601,0.08611111111111114,0.7433333333333333
Re+EGR+EO,0.08333333333333337,1.1111111111111112,0.12380952380952381,0.008333333333333415,0.5833333333333334
Re+AL+ROC,0.1954365079365079,1.2633689839572193,0.13888888888888884,0.40555555555555556,0.7533333333333333
Re+AL+EO,0.09722222222222221,1.125,0.14206349206349211,0.08333333333333337,0.68
DIR+EGR+ROC,-0.04761904761904767,0.9333333333333332,-0.08333333333333337,0.13333333333333336,0.74
DIR+EGR+EO,0.06646825396825395,1.0890957446808511,0.015873015873015817,0.20277777777777783,0.67
DIR+AL+ROC,0.17757936507936511,1.2472375690607735,0.15555555555555556,0.3472222222222222,0.76
DIR+AL+EO,0.06547619047619047,1.0901639344262295,0.04841269841269846,0.21944444444444444,0.75
