model,seed,SPD,DI,EOD,PED,Acc
NONE,1,-0.27862595419847325,0.6421568627450981,-0.24905303030303028,-0.1732142857142857,0.77
NONE,2,-0.35297766749379655,0.5666412795125666,-0.2757242757242757,-0.38755980861244016,0.7766666666666666
NONE,3,-0.11309523809523803,0.8623188405797102,-0.08916728076639646,0.0,0.7366666666666667
NONE,4,-0.31405970430360675,0.6198997036699339,-0.3306451612903225,-0.1909750201450443,0.7433333333333333
NONE,5,-0.3255374438932199,0.6102941176470588,-0.26555299539170507,-0.3790123456790124,0.71
NONE,6,-0.14640198511166258,0.8254437869822485,-0.14438502673796794,-0.11111111111111105,0.7266666666666667
NONE,7,-0.10327138171726524,0.8646235255208906,-0.15549111997100395,0.04249999999999998,0.73
NONE,8,-0.2599999999999999,0.6829268292682927,-0.20466964729259807,-0.30289727831431074,0.7566666666666667
NONE,9,-0.15570719602977667,0.8029827315541601,-0.19920516641828112,0.034008097165991846,0.7633333333333333
NONE,10,-0.18174969394481588,0.7703747769185009,-0.18744838976052847,-0.1851520572450805,0.7366666666666667
NONE,11,-0.2734375,0.6464646464646465,-0.1679841897233202,-0.17980295566502463,0.7766666666666666
NONE,12,-0.078125,0.9056603773584906,-0.0913926499032881,0.07887700534759357,0.7433333333333333
NONE,13,-0.17388741526672558,0.7796863330843914,-0.0945054945054945,-0.14646464646464652,0.7333333333333333
NONE,14,-0.3014914772727273,0.6342093925032314,-0.2253401360544217,-0.16666666666666669,0.82
NONE,15,-0.21809133489461352,0.7298767222625091,-0.26235465116279066,-0.04166666666666663,0.7466666666666667
DIR only,1,-0.0998392928887103,0.887734357352609,-0.09990530303030298,0.0017857142857142794,0.77
DIR only,2,-0.40849875930521096,0.5198687568355814,-0.328005328005328,-0.46331738437001596,0.77
DIR only,3,-0.010912698412698485,0.9873853211009174,0.02431834929992638,0.053333333333333344,0.7166666666666667
DIR only,4,-0.3410867313306337,0.6002648714269948,-0.3575268817204301,-0.2183722804190169,0.7533333333333333
DIR only,5,-0.2449799196787149,0.7312775330396475,-0.2019969278033794,-0.2777777777777778,0.72
DIR only,6,-0.16966501240694787,0.7986750092013251,-0.14438502673796794,-0.18055555555555558,0.7266666666666667
DIR only,7,-0.0729122866033135,0.9172788856025188,-0.12758245741210583,0.06999999999999995,0.7533333333333333
DIR only,8,-0.30399999999999994,0.6398104265402844,-0.21559860904123196,-0.42142230026338895,0.7533333333333333
DIR only,9,-0.06141439205955335,0.9260642270351008,-0.09985096870342769,0.09959514170040484,0.76
DIR only,10,-0.16385723702796873,0.8007557540364136,-0.20478943022295626,-0.08944543828264762,0.7233333333333334
DIR only,11,-0.125,0.8571428571428571,-0.08498023715415026,0.015599343185550119,0.8
DIR only,12,0.017400568181818232,1.021729490022173,-0.029980657640232056,0.22860962566844922,0.7433333333333333
DIR only,13,-0.10816386678455636,0.8767215317433659,-0.08131868131868136,-0.030303030303030387,0.7566666666666667
DIR only,14,-0.2890625,0.6336633663366337,-0.1947278911564625,-0.16666666666666669,0.8133333333333334
DIR only,15,-0.22628805620608894,0.7225412778176598,-0.27398255813953487,-0.04166666666666663,0.7533333333333333
DIR+AL+EO,1,-0.10687022900763354,0.8238993710691824,-0.1538825757575757,0.14642857142857144,0.7333333333333333
DIR+AL+EO,2,-0.2906327543424318,0.5927857453281182,-0.3393273393273393,-0.09330143540669861,0.7266666666666667
DIR+AL+EO,3,0.008928571428571397,1.0096153846153846,-0.009579955784819405,0.08000000000000007,0.69
DIR+AL+EO,4,-0.10716639984932663,0.8554369918699187,-0.15053763440860224,0.040290088638195054,0.6933333333333334
DIR+AL+EO,5,-0.14906685565792577,0.8215497737556562,-0.0660522273425499,-0.24135802469135798,0.7133333333333334
DIR+AL+EO,6,-0.07475186104218356,0.904930966469428,-0.07520053475935828,-0.02777777777777779,0.7266666666666667
DIR+AL+EO,7,-0.06954839794802792,0.914583763685189,-0.08118883653497644,-0.015000000000000013,0.72
DIR+AL+EO,8,-0.19200000000000006,0.7512953367875647,-0.15002483854942872,-0.21422300263388933,0.7266666666666667
DIR+AL+EO,9,-0.06451612903225812,0.8857142857142857,-0.03874813710879288,-0.02267206477732797,0.6466666666666666
DIR+AL+EO,10,-0.04294189660043313,0.9408406850025948,-0.1354252683732452,0.13864042933810378,0.7233333333333334
DIR+AL+EO,11,-0.0390625,0.9504950495049505,-0.00922266139657446,0.13628899835796388,0.7733333333333333
DIR+AL+EO,12,0.011008522727272707,1.0144522144522143,-0.022243713733075432,0.1831550802139038,0.71
DIR+AL+EO,13,-0.12024756852343055,0.8365384615384616,-0.10622710622710618,0.015151515151515138,0.7266666666666667
DIR+AL+EO,14,-0.09446022727272729,0.891072891072891,-0.1054421768707483,0.06666666666666665,0.7733333333333333
DIR+AL+EO,15,0.012002341920374637,1.0128446115288219,0.01744186046511631,0.05555555555555558,0.7233333333333334
