model,seed,SPD,DI,EOD,PED,Acc
NONE,3,-0.11309523809523803,0.8623188405797102,-0.08916728076639646,0.0,0.7366666666666667
Re+EGR,4,-0.09577172991807137,0.8807457786116323,-0.14247311827956988,0.07171635777598717,0.7366666666666667
Re+EGR+EO,7,0.05844756538558571,1.082610246047783,0.10565422254440016,-0.050000000000000044,0.54
NONE,4,-0.31405970430360675,0.6198997036699339,-0.3306451612903225,-0.1909750201450443,0.7433333333333333
Re+EGR,3,0.00694444444444442,1.0086206896551724,0.003438958486858268,0.15999999999999992,0.74
DIR+AL+ROC,6,0.019230769230769273,1.0384615384615385,-0.0016711229946523298,0.12499999999999997,0.6633333333333333
DIR+AL+ROC,1,0.1275612695861792,1.1662738936894474,0.13020833333333337,0.2642857142857143,0.7633333333333333
DIR+EGR,6,-0.01488833746898266,0.9819004524886877,-0.015374331550802145,0.02777777777777779,0.7333333333333333
DIR+AL+EO,8,-0.19200000000000006,0.7512953367875647,-0.15002483854942872,-0.21422300263388933,0.7266666666666667
DIR+EGR,1,0.06609079951787866,1.0773026315789473,0.011837121212121215,0.2607142857142857,0.77
Re+EGR+ROC,9,-0.2844292803970223,0.6187110187110187,-0.2463984103328365,-0.2356275303643725,0.7566666666666667
DIR+EGR+ROC,7,-0.04524430241359012,0.9470055161544523,-0.10511054729974623,0.10999999999999999,0.75
DIR+AL,7,-0.005718610713985384,0.992976657715348,-0.01667270750271832,0.04749999999999999,0.7233333333333334
DIR+AL+ROC,7,-0.13211672693633847,0.8010385005065855,-0.2381297571583908,0.12666666666666665,0.7066666666666667
NONE,5,-0.3255374438932199,0.6102941176470588,-0.26555299539170507,-0.3790123456790124,0.71
Re+EGR,2,-0.01799007444168732,0.9776923076923077,-0.07742257742257741,0.1762360446570973,0.7466666666666667
Re+EGR+EO,6,0.0,,0.0,0.0,0.3
NONE,2,-0.35297766749379655,0.5666412795125666,-0.2757242757242757,-0.38755980861244016,0.7766666666666666
Re+EGR,5,-0.0817387195842193,0.8987415861867134,-0.054147465437788034,-0.0796296296296296,0.7166666666666667
Re+EGR+EO,1,-0.011249497790277285,0.9849624060150375,0.09422348484848486,-0.18928571428571428,0.5866666666666667
Re+EGR+ROC,8,-0.052000000000000046,0.9326424870466321,-0.014903129657227954,-0.05179982440737485,0.7566666666666667
DIR+EGR+ROC,6,0.03784119106699746,1.0446886446886445,-0.0030080213903743713,0.1527777777777778,0.7266666666666667
DIR+EGR+ROC,1,0.06609079951787866,1.0773026315789473,0.011837121212121215,0.2607142857142857,0.77
DIR+AL,6,0.011166253101737023,1.0147299509001637,0.0006684491978609097,0.08333333333333337,0.7333333333333333
DIR+AL,1,0.1452390518280433,1.2455008488964345,0.12926136363636365,0.3625,0.7433333333333333
DIR+AL+EO,9,-0.06451612903225812,0.8857142857142857,-0.03874813710879288,-0.02267206477732797,0.6466666666666666
DIR+EGR,7,0.006727777310571059,1.0077722724181484,-0.04621239579557812,0.14583333333333337,0.75
DIR+EGR+EO,6,-0.07444168734491319,0.9137311286843997,-0.07319518716577544,-0.04166666666666674,0.73
DIR+EGR+EO,1,0.06227400562474883,1.0725146198830409,0.037878787878787956,0.17500000000000004,0.7333333333333333
DIR+AL+ROC,10,0.05584329974573887,1.0745536836811669,0.0016515276630882925,0.15742397137745978,0.72
DIR+AL+EO,3,0.008928571428571397,1.0096153846153846,-0.009579955784819405,0.08000000000000007,0.69
DIR+AL+EO,4,-0.10716639984932663,0.8554369918699187,-0.15053763440860224,0.040290088638195054,0.6933333333333334
Re+AL+EO,1,-0.04781036560867824,0.9296274393849793,0.007102272727272707,-0.005357142857142838,0.7066666666666667
Re+EGR+ROC,5,-0.07370659107016297,0.9077741649423589,-0.054147465437788034,-0.05493827160493825,0.7233333333333334
Re+AL+EO,6,0.0232630272952854,1.0311850311850312,0.10862299465240643,-0.13888888888888884,0.6166666666666667
Re+EGR+ROC,2,0.06916873449131511,1.0828688219992568,0.010822510822510845,0.2663476874003189,0.77
Re+AL+ROC,7,-0.15852325288032965,0.7072526789874204,-0.1565784704603117,-0.11916666666666664,0.6466666666666666
NONE,8,-0.2599999999999999,0.6829268292682927,-0.20466964729259807,-0.30289727831431074,0.7566666666666667
Re+EGR,8,-0.06000000000000005,0.9249999999999999,-0.03129657228017879,-0.052677787532923626,0.75
Re+AL,1,0.10747288067496985,1.1782145236508994,0.03835227272727271,0.3821428571428571,0.7233333333333334
DIR+AL,10,-0.018551652697994192,0.9744421380384016,-0.0997109826589595,0.13864042933810378,0.7266666666666667
Re+AL,6,0.04745657568238215,1.065749892565535,0.012032085561497263,0.18055555555555558,0.75
Re+AL+EO,7,0.03809603902110836,1.057370820668693,-0.03751359188111636,0.22083333333333333,0.6666666666666666
Re+AL+ROC,6,0.08126550868486349,1.0987933634992457,0.07286096256684493,0.13888888888888895,0.7366666666666667
Re+EGR+ROC,3,0.05654761904761896,1.0708955223880596,0.05256693687054781,0.21333333333333337,0.74
Re+EGR+ROC,4,-0.28703267727657966,0.6408624955814776,-0.3091397849462365,-0.14987912973408546,0.74
Re+AL+ROC,1,0.1279630373644034,1.172816060770483,0.09517045454545459,0.3357142857142857,0.77
DIR+EGR+EO,7,0.022538053990412976,1.0265215239980208,0.021203334541500474,0.03916666666666668,0.6833333333333333
DIR+AL+EO,5,-0.14906685565792577,0.8215497737556562,-0.0660522273425499,-0.24135802469135798,0.7133333333333334
DIR+AL+EO,2,-0.2906327543424318,0.5927857453281182,-0.3393273393273393,-0.09330143540669861,0.7266666666666667
Re+AL,7,-0.06467075939786393,0.9156613292388682,-0.16672707502718376,0.1808333333333333,0.7333333333333333
Re+EGR+EO,10,-0.004143516338638298,0.9932504985427213,-0.007638315441783616,0.01341681574239717,0.44333333333333336
Re+EGR,9,-0.028225806451612878,0.9637305699481865,-0.03129657228017879,0.08663967611336032,0.7666666666666667
NONE,9,-0.15570719602977667,0.8029827315541601,-0.19920516641828112,0.034008097165991846,0.7633333333333333
DIR+AL,8,-0.039999999999999925,0.9444444444444445,-0.012419274714356665,-0.006145741878841093,0.76
Re+AL+EO,2,-0.16532258064516125,0.7515151515151516,-0.10805860805860812,-0.15311004784688997,0.7333333333333333
DIR+EGR+ROC,8,-0.19599999999999995,0.7655502392344498,-0.12468951813214113,-0.2739244951712028,0.7633333333333333
Re+AL+ROC,3,0.0535714285714286,1.0818181818181818,0.1164333087693441,0.2,0.75
Re+EGR+ROC,6,-0.1364764267990074,0.827315541601256,-0.11029411764705888,-0.13888888888888895,0.7333333333333333
Re+AL+EO,5,-0.03165603590833921,0.9533588583362339,-0.03782642089093702,0.030864197530864224,0.69
Re+EGR+ROC,1,-0.21836078746484522,0.7167795726941116,-0.23863636363636365,-0.04821428571428571,0.7566666666666667
Re+AL+ROC,4,0.1353234767868915,1.1709696609161215,0.0766129032258065,0.3207091055600322,0.7366666666666667
DIR+AL+EO,7,-0.06954839794802792,0.914583763685189,-0.08118883653497644,-0.015000000000000013,0.72
DIR+EGR,9,0.046836228287841175,1.05721864342554,-0.008941877794336861,0.2510121457489879,0.7733333333333333
DIR+EGR+EO,5,-0.12378927474604295,0.8665648077412784,-0.07296466973886329,-0.17716049382716048,0.71
NONE,10,-0.18174969394481588,0.7703747769185009,-0.18744838976052847,-0.1851520572450805,0.7366666666666667
DIR+EGR+EO,2,-0.21929280397022333,0.7372723894463025,-0.16566766566766566,-0.2838915470494418,0.6866666666666666
Re+AL+EO,10,0.13183915622940012,1.203252032520325,0.1046655656482246,0.18067978533094808,0.6433333333333333
DIR+AL+ROC,9,0.18114143920595538,1.2441471571906355,0.11723795330352715,0.4113360323886639,0.76
Re+AL,2,-0.19261786600496272,0.7139567019806542,-0.14385614385614387,-0.1682615629984051,0.73
Re+AL,5,-0.13205764233404205,0.8305033353547605,-0.13901689708141318,-0.0679012345679012,0.72
Re+EGR+EO,8,0.0,,0.0,0.0,0.28
DIR+EGR,8,-0.11199999999999999,0.8653846153846154,-0.06408345752608047,-0.14135206321334504,0.7666666666666667
DIR+AL+EO,6,-0.07475186104218356,0.904930966469428,-0.07520053475935828,-0.02777777777777779,0.7266666666666667
DIR+AL+EO,1,-0.10687022900763354,0.8238993710691824,-0.1538825757575757,0.14642857142857144,0.7333333333333333
DIR+EGR+EO,3,0.017857142857142905,1.0208333333333335,0.05256693687054781,0.053333333333333344,0.6866666666666666
DIR+EGR+EO,4,-0.10613052076466711,0.8733280881195908,-0.11693548387096775,-0.010475423045930632,0.73
DIR+AL,9,0.30676178660049624,1.5897435897435896,0.28067560854446094,0.4688259109311741,0.6733333333333333
Re+AL+EO,4,-0.08927394293247948,0.884390243902439,-0.1196236559139785,0.01692183722804197,0.68
Re+AL+ROC,5,-0.2912827781715096,0.46669550173010377,-0.2736175115207373,-0.25864197530864197,0.66
Re+AL+EO,3,0.05059523809523814,1.06640625,0.1164333087693441,0.039999999999999925,0.6433333333333333
DIR+EGR+ROC,9,-0.04125310173697261,0.949100650593188,-0.09438648782911074,0.16113360323886639,0.77
Re+AL,10,0.11639514078538471,1.1752694271128759,0.01796036333608586,0.30858676207513414,0.73
Re+EGR+ROC,7,0.10007568749474394,1.1332586786114223,0.017035157665820977,0.3058333333333333,0.73
Re+AL+ROC,2,-0.10918114143920588,0.8604282315622522,-0.11055611055611059,-0.019138755980861233,0.74
Re+EGR+EO,9,0.0,,0.0,0.0,0.28
DIR+AL+ROC,8,-0.027999999999999914,0.9661835748792271,-0.03924490809736714,0.06496927129060581,0.77
Re+AL,4,0.042000188341651756,1.065530414340288,-0.03360215053763438,0.2634971796937954,0.6866666666666666
Re+AL,3,-0.2748015873015872,0.7015086206896552,-0.13436502087939084,-0.3466666666666667,0.7166666666666667
DIR+AL+ROC,5,-0.31537916371367825,0.44697597348798673,-0.29742703533026116,-0.2833333333333333,0.6666666666666666
DIR+EGR+EO,10,0.050569733496562796,1.06296904315197,-0.056151940545004164,0.2647584973166368,0.7333333333333333
DIR+AL+ROC,2,-0.2223945409429281,0.7283061765820386,-0.18481518481518477,-0.19218500797448163,0.77
DIR+EGR+ROC,10,-0.12910820227893394,0.8360832137733143,-0.19322873658133777,-0.00805008944543828,0.74
Re+AL,9,0.25093052109181135,1.5229476405946993,0.23348236462990568,0.39433198380566803,0.65
DIR+EGR,10,0.08268198512100955,1.103954534690978,-0.014657308009909165,0.276386404293381,0.7366666666666667
Re+EGR+EO,3,0.0029761904761904656,1.0036764705882353,0.09948415622697115,-0.08000000000000007,0.6233333333333333
Re+EGR,7,0.10007568749474394,1.1332586786114223,0.017035157665820977,0.3058333333333333,0.73
Re+EGR+EO,4,-0.04943968358602513,0.9346689895470383,-0.013440860215053752,-0.09266720386784844,0.6166666666666667
Re+EGR+ROC,10,-0.2124493831810904,0.7163691224541112,-0.20582163501238637,-0.24597495527728086,0.7566666666666667
NONE,7,-0.10327138171726524,0.8646235255208906,-0.15549111997100395,0.04249999999999998,0.73
DIR+AL,3,-0.25297619047619047,0.7310126582278481,-0.07000736919675765,-0.36,0.7333333333333333
DIR+AL,4,0.08691967228552588,1.1348035636044982,0.008064516129032251,0.3086220789685738,0.6833333333333333
Re+AL+ROC,8,0.02399999999999991,1.0301507537688441,0.012916045702930923,0.1246707638279193,0.7733333333333333
Re+AL+EO,9,-0.003722084367245748,0.9935897435897434,0.005464480874316946,0.06720647773279348,0.6533333333333333
DIR+EGR+ROC,3,0.06448412698412698,1.0738636363636365,0.05649717514124297,0.17333333333333334,0.7166666666666667
DIR+EGR+ROC,4,-0.2742254449571523,0.6617886178861788,-0.325268817204301,-0.09105560032232074,0.7466666666666667
DIR+EGR,5,-0.0916607606898181,0.8976523344763915,-0.06701228878648235,-0.09074074074074068,0.73
DIR+EGR,2,-0.22735732009925558,0.7302171512697828,-0.2316017316017316,-0.13237639553429031,0.76
DIR+EGR+EO,9,0.038771712158808924,1.0469043151969981,0.03477396920019871,0.09716599190283404,0.7133333333333334
NONE,6,-0.14640198511166258,0.8254437869822485,-0.14438502673796794,-0.11111111111111105,0.7266666666666667
Re+EGR,1,-0.030333467255926116,0.9604608536266037,-0.05681818181818177,0.15357142857142858,0.7633333333333333
Re+EGR+EO,5,-0.05835105126387907,0.9097552064303982,0.08813364055299533,-0.31543209876543205,0.5
NONE,1,-0.27862595419847325,0.6421568627450981,-0.24905303030303028,-0.1732142857142857,0.77
Re+EGR,6,-0.01799007444168732,0.9776923076923077,-0.022058823529411797,0.02777777777777779,0.7166666666666667
Re+EGR+EO,2,0.05738213399503722,1.0852141870105942,0.09274059274059276,-0.012759170653907526,0.5733333333333334
DIR+AL+ROC,3,-0.0029761904761904656,0.9956896551724138,0.09948415622697115,0.07999999999999996,0.7433333333333333
DIR+AL+ROC,4,0.13268669366230335,1.162103083294984,0.09139784946236562,0.2933118452860596,0.75
Re+AL,8,0.039999999999999925,1.0606060606060606,0.011922503725782407,0.18612818261633013,0.7333333333333333
DIR+EGR,3,0.025793650793650813,1.030373831775701,0.02996806681405062,0.13333333333333341,0.72
DIR+EGR,4,-0.09454750918165555,0.8855710052427627,-0.13306451612903225,0.07171635777598717,0.76
DIR+EGR+EO,8,-0.12,0.8571428571428571,-0.042225534028812683,-0.23090430201931522,0.7333333333333333
Re+AL+ROC,10,-0.050098879367172,0.902439024390244,-0.09909165978530143,0.03309481216457963,0.7033333333333334
DIR+AL,5,-0.1686746987951807,0.7980769230769231,-0.13056835637480801,-0.191358024691358,0.7033333333333334
DIR+AL,2,-0.2521712158808933,0.6466753585397653,-0.21811521811521806,-0.19856459330143544,0.7466666666666667
DIR+EGR+ROC,5,-0.03330970942593903,0.9636222910216719,-0.008448540706605168,-0.04012345679012341,0.72
Re+EGR,10,0.07251153592616999,1.0958188153310104,-0.06296449215524358,0.34615384615384615,0.7366666666666667
Re+AL+ROC,9,0.20626550868486349,1.29568697198755,0.15002483854942872,0.43562753036437246,0.76
Re+AL+EO,8,-0.03200000000000003,0.9562841530054644,0.0009935419771485154,-0.052677787532923626,0.6866666666666666
DIR+EGR+ROC,2,-0.15353598014888337,0.8142589118198874,-0.16000666000665997,-0.04944178628389162,0.7633333333333333
DIR+AL+EO,10,-0.04294189660043313,0.9408406850025948,-0.1354252683732452,0.13864042933810378,0.7233333333333334
