,n_seeds,SPD_mean,SPD_std,DI_mean,DI_std,EOD_mean,EOD_std,PED_mean,PED_std,Acc_mean,Acc_std
NONE,10.0,-0.2231,0.0935,0.7248,0.1128,-0.2101,0.0715,-0.1653,0.1593,0.745,0.0212
Re+EGR,10.0,-0.0153,0.0622,0.9822,0.0801,-0.0458,0.045,0.1196,0.1387,0.7403,0.017
Re+AL,10.0,-0.006,0.159,1.023,0.2471,-0.0304,0.1222,0.1313,0.2465,0.7173,0.0287
DIR+EGR,10.0,-0.0312,0.0978,0.9637,0.1168,-0.0539,0.0779,0.0802,0.1611,0.75,0.0188
DIR+AL,10.0,-0.0188,0.1755,1.0072,0.2724,-0.0129,0.139,0.0653,0.2662,0.7227,0.0279
Re+EGR+ROC,10.0,-0.1039,0.1464,0.8647,0.1899,-0.1099,0.1305,-0.014,0.2038,0.7463,0.015
Re+EGR+EO,10.0,-0.0004,0.0376,0.9992,0.0668,0.0459,0.0532,-0.0727,0.1056,0.4743,0.1401
Re+AL+ROC,10.0,0.0019,0.1534,0.9787,0.2491,-0.0116,0.1401,0.1192,0.2162,0.7277,0.0441
Re+AL+EO,10.0,-0.0126,0.0816,0.9827,0.1207,0.004,0.085,0.0206,0.1202,0.672,0.0344
DIR+EGR+ROC,10.0,-0.0704,0.115,0.9133,0.1397,-0.0946,0.1146,0.0395,0.1603,0.7467,0.0203
DIR+EGR+EO,10.0,-0.0452,0.096,0.9478,0.1135,-0.0381,0.0731,-0.0115,0.1765,0.714,0.0213
DIR+AL+ROC,10.0,-0.0184,0.1612,0.9624,0.2419,-0.0321,0.1562,0.1047,0.2107,0.7313,0.0406
DIR+AL+EO,10.0,-0.1089,0.0846,0.8501,0.1153,-0.12,0.0922,-0.0209,0.1328,0.71,0.0266
